UID	Ferlus's numbering	I = EFEO; II = SOAS +CNRS; III = Michel Ferlus; IV = Frédéric Pain	French	English	Chinese [简体中文]	Vietnamese	Vietnamese (older form, corrected since)	Written Khmer	Standard (Modern) Khmer	Tatey Leu Khmer	Written Khmer: variant	Standard (Modern) Khmer: variant	Tatey Leu Khmer: variant	semantics	sémantique	TaiYo	TaiYo IPA (Mỹ Dạ)		
120	28.1	II	Banc de sable	Sandbanks	沙洲	bãi cát		thnār khsāc¢	tʰniə kʰsac	kʰsɛc pùːn				natural environment	environnement naturel	pãi xai	pɑi53 sɑi55		
121	28.2	III	Terre meuble	Loose earth	松土	đất xốp, đất tốt		ṭị kaṇteṅ	ɗɛj kənɗeːɲ	ɗiː kənɗíːŋ				natural environment	environnement naturel				
122	28.3	III	Gravier de rivière	River gravel, fluviatile gravel	河砾石	sỏi, sạn		-	-					natural environment	environnement naturel				
123	28.4	III	Plage	Beach	滩（海滩）	bãi biển		-	-					natural environment	environnement naturel				
124	28.5	III	Île	Island	岛	đảo		-	-					natural environment	environnement naturel	đón cáng	dɔn13 kɑŋ13		
125	29	I	Pierre (matière)	Stone	石（石头）	đá		thma	tʰmɑː	tʰmɒ´ː				natural environment	environnement naturel	hín	hin13		
126	29.1	II	Argile	Clay	粘土	đất sét		ṭị taṭdh	ɗɛj ʔɤt	ɗiː ʔɔ̀t				natural environment	environnement naturel				
127	29.2	III	Rocher	Rock	岩石	(tảng) đá	tảng đá	-	-					natural environment	environnement naturel				
128	30	I	Boue	Mud	泥	bùn		phuk	pʰuəʔ	ɗiː pʰɒ´k		rég. pʰok		natural environment	environnement naturel	buộc	bwok11		
129	31	I	Or	Gold	金（金子）	vàng		mās	miəh	màː(h)				natural environment	environnement naturel	căm	kʌm55 		
130	32	I	Argent	Silver	银	bạc		(sāc¢)prāk¢	praʔ	prák				natural environment	environnement naturel	ngân	ŋɤn55		
131	33	I	Cuivre	Copper	铜	đồng		sbān¢	spoən	səpàn				natural environment	environnement naturel	tong	tɔŋ55		
132	34	I	Fer	Iron	铁	sắt		ṭæk	ɗaec	ɗɛ´ːk				natural environment	environnement naturel	lếch	lec55		
133	34.1	II	Fonte de fer	Cast iron, pig iron	铸铁	gang		-	-					natural environment	environnement naturel	kháng	xɑŋ13		
134	35	I	Étain	Tin	锡	thiếc, kẽm		saṁṇa pā"hāṁṅ	səmnɑː pahaŋ	səmnɒː pahoŋ				natural environment	environnement naturel				
135	36	I	Plomb	Lead	铅	chì		saṁṇa	səmnɑː	səmnɒ̀ː 				natural environment	environnement naturel	chưn	cɯn55		
136	37	I	Bronze	Bronze	青铜（铜和锡以及有时有少量其他元素的合金，青灰色或灰黄色）	đồng thanh, đồng điếu, đồng thiếc	đồng đen	saṁrịddh	səmrɤt	səmrɤt				natural environment	environnement naturel	tong đắm	tɔŋ55 dʌm13		
137	37.1	II	Extraire le métal	To extract metals (from an ore)	提取金属	khai quặng		-	-					natural environment	environnement naturel				
138	37.2	III	Mine de fer	Iron mine	铁矿	mỏ sắt		-	-					natural environment	environnement naturel				
139	37.3	III	Mine de sel	Salt mine	盐矿	mỏ muối		-	-					natural environment	environnement naturel				
140	37.4	III	Rouille	Rust	锈	sét, rỉ, gỉ		-	-					natural environment	environnement naturel	miềng	mieŋ31		
141	38	I	Feu	Fire	火	lửa		bhlœṅ	pʰləːŋ	pʰləːŋ				natural environment	environnement naturel	phi	fi55		
142	38.1	III	Incendie	Fire	火灾	đám cháy		-	-					natural environment	environnement naturel				
143	38.2	III	Propager, le feu se propage	Spread (fire spreads)	（火）蔓延	(lửa) lan	lửa lan	-	-					natural environment	environnement naturel				
144	39	I	Allumer le feu	To light a fire	点火	nhen, đốt lửa		´uc	ʔoc	ɗɔt pʰləːŋ				natural environment	environnement naturel				
145		IV	Allumer le feu (variante)	To light a fire	点火	nhen, đốt lửa		ṭut	ɗot					natural environment	environnement naturel				
146		IV	Allumer le feu (variante)	To light a fire	点火	nhen, đốt lửa		pañcheḥ	ɓəɲcʰɛh					natural environment	environnement naturel				
147	39.1	III	Allumer (briquet, pierre)	Strike a light	打火	đánh lửa		-	-					natural environment	environnement naturel				
148	39.2	III	Allumer (d’un autre feu)	Ignite, light up	点燃	châm lửa	mồi lửa	-	-					natural environment	environnement naturel				
149	39.3	III	Souffler au feu	Blow fire	吹火	thổi lửa		-	-					natural environment	environnement naturel				
150	39.4	III	Se chauffer au feu	Get warm by the fire	烤火取暖	sưởi (bằng) lửa	sưởi lửa	-	-					natural environment	environnement naturel				
151	39.5	III	Sécher au feu	To dry (by the fire)	烘，焙，烘干，焙干	hong (bằng/trên) lửa	hong lửa	-	-					natural environment	environnement naturel				
152	39.6	III	Durcir au feu	To harden in fire	烤（木头）在火里，为了硬化	nung	tôi, trui lửa	-	-					natural environment	environnement naturel				
153	40	I	Éteindre le feu	To put out a fire	灭，灭火	tắt, dập lửa		lat¢	luət	lɤ`t pʰləːŋ				natural environment	environnement naturel				
154		IV	Éteindre le feu (variante)	To put out a fire	灭，灭火	tắt, dập lửa		banlat¢	pənluət					natural environment	environnement naturel				
155	41	I	Fumée	Smoke	烟	khói		phsæṅ	pʰsaeɲ	hsɛ´ːŋ				natural environment	environnement naturel	quăn	kwʌn55		
156	41.1	III	S’élever, la fumée s’élève	Rise (smoke rises)	（烟气）上升	(khói) bốc		-	-					natural environment	environnement naturel				
157	41.2	III	Suie	Soot	炱、煤炱、烟炱、炭黑	nhọ nồi, bồ hóng, muội, lọ nghẹ	lọ nghẹ, lọ nồi	-	-					natural environment	environnement naturel				
158	42	I	Cendres	Cinders, ashes	灰，灰烬	tro		pheḥ	pʰɛh	pʰɛh				natural environment	environnement naturel	tảu	tɑw33		
159	42a	III	Tisons (demi brûlés)	Embers	余烬	mẩu củi cháy dở		-	-					natural environment	environnement naturel				
160	42b	III	Cendres chaudes	Hot ashes	热灰	tro nóng		-	-					natural environment	environnement naturel				
161	42.1	III	Braises	Embers	煤（烧红的煤）	than hồng		-	-					natural environment	environnement naturel				
162	42.2	III	Feu éteint, traces de feu éteint	Extinguished fires; traces of extinguished fire	已经灭了的火，火灭后留下的痕迹	tàn lửa	lửa rụi, đấu tro	-	-					natural environment	environnement naturel				
163	42.3	III	Chaux	Lime	石灰	vôi		-	-					natural environment	environnement naturel	pún	pun13		
164	42.4	III	Charbon (=255)	Coal	煤	than		-	-					natural environment	environnement naturel	cỏ	kɔ33		
165	43	I	Forêt (général)	Forest	林，树林	rừng		brai	prej	prèj/prèː				plants	plantes	pả	pɑ33		
166		IV	Forêt (général) (variante)	Forest	林，树林	rừng				prèː kəmpòːt				plants	plantes				
167		IV	Forêt (général) (variante)	Forest	林，树林	rừng				prèː ɓɤ´ŋ				plants	plantes				
168		IV	Forêt (général) (variante)	Forest	林，树林	rừng				prèː wàːl				plants	plantes				
169		IV	Forêt (général) (variante)	Forest	林，树林	rừng				prèː kráːh				plants	plantes				
170		IV	Forêt (général) (variante)	Forest	林，树林	rừng				prèː sɗə´ːŋ				plants	plantes				
171	43.1	II	Brousse, jungle (dense)	Jungle, bush	丛林	rừng rú	rừng rậm	brai ñiet spāt	prej ɲiət sɓaːt	-				plants	plantes				
172		IV	Brousse, jungle (dense) (variante)	Jungle	丛林	rừng rậm, rừng rú		brai snāp¢	prej snap					plants	plantes				
173	43.2	II	Fourré, hallier (clair)	Thicket	灌木丛	bụi cây, bụi rậm	lùm cây	-	-					plants	plantes				
174	43.3	III	Forêt*, autres types	Forest, other	林，树林（其他种类）	(một kiểu rừng)		-						plants	plantes				
175	43.3a	III	Forêt*, autres types	Forest, other	林，树林（其他种类）	(một kiểu rừng)		-						plants	plantes				
176	43.4	III	Clairière	Clearing	林间空地	trảng (chỗ đất trống)	chỗ trảng trong rừng	brai rapoḥ	prej rəɓɑh	-				plants	plantes				
177	43.5	III	Trouée, galerie	Gap in forest, opening in forest (allowing to go through/into the forest)	森林里的（自然）途径	khoảng trống trong rừng		-	-					plants	plantes				
178	43.6	III	Broussailleux	Bushy, dense	浓密	rậm rạp		-	-					plants	plantes				
179	44	I	Arbre	Tree	树	cây cối		ṭœm jhœ	ɗaəm cʰəː	ɗəm cʰə`ː				plants	plantes	có mãy	kɔ13 mɑi53		
180	45	I	Racine	Root	根	rễ cây		ṛs	rɨh	rɯ`h				plants	plantes	hạc mãy	hɑk11 mɑi53		
181	45.1	III	Racine, grosse racine	Main root	主根	rễ, rễ cái		-	-					plants	plantes				
182	45.2	III	Radicelle	Rootlet	支根	rễ con		-	-					plants	plantes				
183	46	I	Tronc	Trunk (of trees)	树干	thân cây		ṭœm	ɗaəm	ɗə´ːm				plants	plantes	cáng có	kɑŋ13 kɔ13		
184	46.1	III	Tronc d’arbre tombé	Fallen tree trunks	倒下的树干	thân cây đã đổ		-	krák					plants	plantes				
185	46.2	III	Souche coupée	Stump	（已砍的树的）树桩	gốc cây đã đốn		-	-					plants	plantes				
186	46.3	III	Souche (base du tronc)	Stock, bole (of live tree)	树干根部	gốc cây (còn sống)		ṭœṅgat¢ jhœ	ɗəŋ kuət cʰəː	-				plants	plantes				
187		IV	Souche (base du tronc)	Stock, bole (of live tree)	树干根部	gốc cây (còn sống)		jœṅ jaṅ¢	cəːŋ cuəŋ					plants	plantes				
188	46.4	III	Futaie	Jungle	丛林	rừng cây to		-	-					plants	plantes				
189	46.5	III	Cime	Treetop	树顶，树梢	ngọn		-	-					plants	plantes				
190	47	I	Branche	Branch	枝，树枝	cành, nhánh		mæk jhœ	mɛːc cʰəː	mɛːk				plants	plantes	ngả			
191	47a	III	Branche, grosse branche	Bough, large branch, limb	大枝，大树枝	cành to		-	-					plants	plantes				
192	47b	III	Branchelette, rameau	Branch (small)	小枝，小树枝	nhánh nhỏ		-	-					plants	plantes				
193	47c	III	Branche fourchue	Forked branch (of trees)	分叉（的）树枝	chạc (cây)	cành cong	-	-					plants	plantes				
194	47.1	II	Écorce	Bark	树皮	vỏ cây		saṁpak	səmɓɑːʔ	səmɓɒːk				plants	plantes	nắng có mãy	nʌŋ13 kɔ13 mɑi53		
195	47.2	II	Cœur du bois	Heartwood, pith	树心	ruột, lõi cây	tim, lõi cây	khlịm	kʰlɤm	kʰləm				plants	plantes				
